Replicate,Day,Well_Num,Culture,Hgui_Alive_Num,Hgui_Dead_Num,Scer_Alive_Num,Scer_Dead_Num,Total_Cells,Hgui_Alive_Total_Alive,Scer_Alive_Total_Alive,Hgui_Dead_Total_Hgui,Scer_Dead_Total_Scer,Hgui_Alive_Total_Hgui,Scer_Alive_Total_Scer,AliveRatio_Hgui_Scer
1,5,A1,3324a,301,741,19970,8988,30000,0.014848799,0.985151201,0.711132438,0.310380551,0.288867562,0.689619449,0.015072609
1,5,A3,3911,17586,10763,697,954,30000,0.961877154,0.038122846,0.379660658,0.577831617,0.620339342,0.422168383,25.23098996
1,5,A5,3824,7292,20106,439,2163,30000,0.943215625,0.056784375,0.733849186,0.831283628,0.266150814,0.168716372,16.61047836
1,5,A6,3984,18599,10107,120,1174,30000,0.993589401,0.006410599,0.352086672,0.907264297,0.647913328,0.092735703,154.9916667
1,5,B2,3905,4980,22184,855,1981,30000,0.853470437,0.146529563,0.816669121,0.698519041,0.183330879,0.301480959,5.824561404
1,5,B4,3324m,54130,378841,8347,39240,480558,0.866398835,0.133601165,0.874980079,0.824594952,0.125019921,0.175405048,6.484964658
1,5,B6,3842,7941,21394,193,472,30000,0.976272437,0.023727563,0.729299472,0.709774436,0.270700528,0.290225564,41.14507772
1,5,C1,3821,12847,14559,739,1855,30000,0.945605771,0.054394229,0.531234036,0.715111796,0.468765964,0.284888204,17.38430311
1,5,C3,3920,9457,14807,163,5573,30000,0.983056133,0.016943867,0.610245631,0.971582985,0.389754369,0.028417015,58.01840491
1,5,C5,3905,19613,9666,354,367,30000,0.982270747,0.017729253,0.330134226,0.509015257,0.669865774,0.490984743,55.4039548
1,5,D2,3852,8662,16053,267,5018,30000,0.970097435,0.029902565,0.64952458,0.949479659,0.35047542,0.050520341,32.44194757
1,5,D3,b,1227,763,2,8,2000,0.998372661,0.001627339,0.383417085,0.8,0.616582915,0.2,613.5
1,5,D4,3324a,3123,8725,10428,7724,30000,0.230462696,0.769537304,0.736411209,0.425517849,0.263588791,0.574482151,0.299482163
1,5,D6,3911,22326,7236,96,342,30000,0.995718491,0.004281509,0.244773696,0.780821918,0.755226304,0.219178082,232.5625
1,5,E1,3822,15088,9621,1943,3348,30000,0.885913922,0.114086078,0.389372293,0.632772633,0.610627707,0.367227367,7.765311374
1,5,E3,3973,4409,18366,2005,5220,30000,0.687402557,0.312597443,0.806410538,0.722491349,0.193589462,0.277508651,2.199002494
1,5,E5,3852,13667,13914,97,2322,30000,0.99295263,0.00704737,0.50447772,0.959900785,0.49552228,0.040099215,140.8969072
1,5,F2,3850,151738,114344,373,6953,273408,0.997547843,0.002452157,0.429732188,0.949085449,0.570267812,0.050914551,406.8042895
1,5,F4,3821,20764,7504,1047,685,30000,0.951996699,0.048003301,0.265459176,0.395496536,0.734540824,0.604503464,19.83190067
1,5,F6,3920,6907,20384,208,2501,30000,0.970765987,0.029234013,0.746912902,0.9232189,0.253087098,0.0767811,33.20673077
1,5,G1,3824,4976,22095,278,2651,30000,0.947087933,0.052912067,0.816187064,0.90508706,0.183812936,0.09491294,17.89928058
1,5,G3,3984,19950,7751,1330,969,30000,0.9375,0.0625,0.279809393,0.421487603,0.720190607,0.578512397,15
1,5,G5,3850,9895,19798,19,288,30000,0.998083518,0.001916482,0.666756475,0.938110749,0.333243525,0.061889251,520.7894737
1,5,H1,3324m,18131,9776,537,1556,30000,0.971234198,0.028765802,0.350306375,0.743430483,0.649693625,0.256569517,33.76350093
1,5,H2,3842,24140,5042,504,314,30000,0.979548775,0.020451225,0.17277774,0.383863081,0.82722226,0.616136919,47.8968254
1,5,H3,b,838,887,169,106,2000,0.832174777,0.167825223,0.514202899,0.385454545,0.485797101,0.614545455,4.958579882
1,5,H4,3822,13368,10632,2265,3735,30000,0.855114182,0.144885818,0.443,0.6225,0.557,0.3775,5.901986755
1,5,H6,3973,20303,9166,247,284,30000,0.987980535,0.012019465,0.311038719,0.534839925,0.688961281,0.465160075,82.19838057
2,5,A1,3905,4338,17448,4266,3948,30000,0.5041841,0.4958159,0.8008813,0.480642805,0.1991187,0.519357195,1.016877637
2,5,A3,3822,4451,20832,1778,2939,30000,0.714560925,0.285439075,0.823952854,0.623065508,0.176047146,0.376934492,2.503374578
2,5,A5,3973,13776,13111,1375,1738,30000,0.909246914,0.090753086,0.487633429,0.558303887,0.512366571,0.441696113,10.01890909
