Replicate,Day,Well_Num,Culture,Hgui_Alive_Num,Hgui_Dead_Num,Scer_Alive_Num,Scer_Dead_Num,Total_Cells,Hgui_totalprop,Scer_totalprop,norm_Hgui_totalprop
3,8,C3,3894,2385,16422,9933,1260,30000,0.6269,0.3731,0.5972627327798968
2,9,H2,3984,1466,11048,16293,1193,30000,0.41713333333333336,0.5828666666666666,0.3435652569349705
1,7,A3,3911,9981,17898,928,1193,30000,0.9293,0.0707,0.9320954551134933
1,7,D6,3911,16185,11195,1661,959,30000,0.9126666666666666,0.08733333333333333,0.9140460301415645
1,7,C5,3905,11268,9250,7648,1834,30000,0.6839333333333333,0.31606666666666666,0.6658393083832971
1,6,C5,3905,15633,12379,1265,723,30000,0.9337333333333333,0.06626666666666667,0.9393320111637475
2,6,C1,3911,2634,23622,1518,2226,30000,0.8752,0.1248,0.8692000146718997
2,7,C3,3824,8593,10206,9092,2109,30000,0.6266333333333334,0.3733666666666667,0.5935748008262024
2,8,F4,3905,9102,14973,4498,1427,30000,0.8025,0.1975,0.7871315086028388
3,5,E3,3324m,5032,6308,11992,6668,30000,0.378,0.622,0.32777374909354606
3,8,D6,3973,2249,18609,6074,3068,30000,0.6952666666666667,0.30473333333333336,0.6739585670480892
3,5,A3,3973,2038,15085,7035,5842,30000,0.5707666666666666,0.42923333333333336,0.537454677302393
1,5,A1,3324a,301,741,19970,8988,30000,0.03473333333333333,0.9652666666666667,0
1,5,D4,3324a,3123,8725,10428,7724,30000,0.39493333333333336,0.6050666666666666,0.37715961048479985
1,5,F2,3850,151738,114344,373,6953,273408,0.9732048806179775,0.026795119382022472,0.9826584209465402
1,5,G5,3850,9895,19798,19,288,30000,0.9897666666666667,0.010233333333333334,1
2,5,D2,3324a,1723,2822,14573,10882,30000,0.1515,0.8485,0.08919697515304284
2,5,G3,3850,14625,14452,305,618,30000,0.9692333333333333,0.030766666666666668,0.972596326971552
2,5,G5,3324a,803,1265,17385,10547,30000,0.06893333333333333,0.9310666666666667,0
2,5,H1,3850,15361,14477,5,157,30000,0.9946,0.0054,1
3,5,A5,3850,3900,25891,107,102,30000,0.9930333333333333,0.006966666666666667,0.9967730239303844
3,5,G1,3850,19211,10669,62,58,30000,0.996,0.004,1
3,5,G3,3324a,843,1457,19719,7981,30000,0.07666666666666666,0.9233333333333333,0
3,5,H1,3324a,1421,1593,16400,10586,30000,0.10046666666666666,0.8995333333333333,0.02588832487309645
1,6,A1,3324a,1077,2639,14645,11639,30000,0.12386666666666667,0.8761333333333333,0
1,6,D4,3324a,1988,2299,15901,9812,30000,0.1429,0.8571,0.022076003390455214
1,6,F2,3850,45471,54543,143,1273,101430,0.9860396332446022,0.013960366755397812,1
1,6,G5,3850,10734,17965,236,1065,30000,0.9566333333333333,0.043366666666666664,0.965892806836677
2,6,D2,3324a,927,1632,14515,12926,30000,0.0853,0.9147,0
2,6,G3,3850,13616,16175,44,165,30000,0.9930333333333333,0.006966666666666667,0.998862927777574
2,6,G5,3324a,1121,1475,15516,11888,30000,0.08653333333333334,0.9134666666666666,0.0013571507170890985
2,6,H1,3850,15139,14683,19,159,30000,0.9940666666666667,0.005933333333333333,1
3,6,A5,3850,5038,4961,17125,2876,30000,0.3333,0.6667,0.2757379671368329
3,6,G1,3850,18733,11189,35,43,30000,0.9974,0.0026,1
3,6,G3,3324a,723,1691,15890,11696,30000,0.08046666666666667,0.9195333333333333,0
3,6,H1,3324a,1361,1928,13416,13295,30000,0.10963333333333333,0.8903666666666666,0.031808928311763844
1,7,A1,3324a,419,1691,15311,12579,30000,0.07033333333333333,0.9296666666666666,0
1,7,D4,3324a,661,1736,14704,12899,30000,0.0799,0.9201,0.010381132198283698
1,7,F2,3850,39929,55681,11,772,96393,0.9918770035168529,0.008122996483147116,1
1,7,G5,3850,9823,19823,22,332,30000,0.9882,0.0118,0.9960099519579786
2,7,D2,3324a,494,655,505,968,2622,0.43821510297482835,0.5617848970251716,0.3850860537490724
2,7,G3,3850,13266,16552,11,171,30000,0.9939333333333333,0.006066666666666666,1
2,7,G5,3324a,1211,1495,14037,13257,30000,0.0902,0.9098,0
2,7,H1,3850,14352,14980,378,290,30000,0.9777333333333333,0.022266666666666667,0.9820743582177633
3,7,A5,3850,2602,27207,14,177,30000,0.9936333333333334,0.006366666666666666,1
3,7,G1,3850,16763,12135,695,407,30000,0.9632666666666667,0.03673333333333333,0.9654151323032535
3,7,G3,3324a,1140,2328,11784,14748,30000,0.1156,0.8844,0
3,7,H1,3324a,1436,2362,11603,14599,30000,0.1266,0.8734,0.012527998177745714
1,8,A1,3324a,470,1635,11738,16157,30000,0.07016666666666667,0.9298333333333333,0
1,8,D4,3324a,950,1838,12685,14527,30000,0.09293333333333334,0.9070666666666667,0.02489974480495808
1,8,F2,3850,10941,18594,169,296,30000,0.9845,0.0155,1
1,8,G5,3850,6742,20220,1804,1234,30000,0.8987333333333334,0.10126666666666667,0.906197593875319
2,8,G3,3850,11848,17080,31,1041,30000,0.9642666666666667,0.03573333333333333,0.9698430028989873
2,8,G5,3324a,1126,2042,12604,14228,30000,0.1056,0.8944,0
2,8,H1,3850,12701,17028,25,246,30000,0.9909666666666667,0.009033333333333334,1
3,8,A5,3850,2994,26583,187,236,30000,0.9859,0.0141,1
3,8,G1,3850,10800,11284,2894,5022,30000,0.7361333333333333,0.2638666666666667,0.7198040535487248
3,8,G3,3324a,723,2112,13161,14004,30000,0.0945,0.9055,0
3,8,H1,3324a,1748,2519,10272,15461,30000,0.14223333333333332,0.8577666666666667,0.053548724852292263
1,9,A1,3324a,556,1461,11811,16172,30000,0.06723333333333334,0.9327666666666666,0
1,9,D4,3324a,1283,1635,12633,14449,30000,0.09726666666666667,0.9027333333333334,0.03353057199211045
1,9,F2,3850,10848,18040,727,385,30000,0.9629333333333333,0.037066666666666664,1
