Replicate,Day,Well_Num,Culture,Scer_Dead_Num,Hgui_Dead_Num,Hgui_Alive_Num,Scer_Alive_Num,Total_Cells,Hgui_totalprop,Scer_totalprop,norm_Hgui_totalprop
1,5,F6,3920,1477,20384,6907,1024,30000,0.9097,0.08336666666666667,0.916163484695124
1,5,D2,3852,1733,16053,8662,3285,30000,0.8238333333333333,0.16726666666666667,0.8262538829360231
1,5,E5,3852,866,13914,13667,1456,30000,0.9193666666666667,0.0774,0.9262852954521658
1,5,A6,3984,451,10107,18599,723,30000,0.9568666666666666,0.03913333333333333,0.9655509406303444
1,5,C3,3920,1438,14807,9457,4135,30000,0.8088,0.18576666666666666,0.8105127220690377
2,7,A6,3852,548,14569,1814,13064,30000,0.5461,0.4537333333333333,0.5044629684272648
2,5,A6,3852,595,19817,3287,6279,30000,0.7701333333333333,0.22913333333333333,0.7575081022686352
1,6,A6,3984,725,8974,13393,6741,30000,0.7455666666666667,0.24886666666666668,0.7210850074174785
2,6,A6,3852,161,16576,2458,10793,30000,0.6344666666666666,0.3651333333333333,0.6042988665957524
1,7,A6,3984,876,12472,8460,7993,30000,0.6977333333333333,0.29563333333333336,0.6808141820073021
1,8,A6,3984,804,2302,1576,24219,30000,0.12926666666666667,0.8341,0.06463725847612103
2,9,A6,3852,240,3618,565,25396,30000,0.13943333333333333,0.8545333333333334,0.027853569804456562
2,8,A6,3852,312,4979,856,23560,30000,0.1945,0.7957333333333333,0.10041037611535711
1,9,A6,3984,646,1606,1671,23406,30000,0.10923333333333334,0.8017333333333333,0.04689070001116445
3,5,B2,3920,774,15501,4758,8912,30000,0.6753,0.3228666666666667,0.6511602610587383
3,6,B2,3920,492,24254,3292,1938,30000,0.9182,0.081,0.9136251272357133
3,8,B2,3920,813,3687,640,24738,30000,0.14423333333333332,0.8517,0.05579238650811457
3,7,B2,3920,976,7521,1808,19646,30000,0.31096666666666667,0.6874,0.22250484036293233
2,5,B4,3920,4644,9791,4547,12852,31884,0.44969263580479235,0.548739179525781,0.41133522053092436
2,6,B4,3920,3333,3036,1211,22390,30000,0.14156666666666667,0.8574333333333334,0.06191541649855116
2,7,B4,3920,1521,5419,3481,19478,30000,0.2966666666666667,0.6999666666666666,0.2284597226320449
2,9,B4,3920,1284,3925,2503,22149,30000,0.21426666666666666,0.7811,0.11293011975140214
3,5,B6,3920,2547,5003,3353,17640,30000,0.27853333333333335,0.6729,0.21957940536620743
3,6,B6,3920,461,14631,12963,1884,30000,0.9198,0.07816666666666666,0.9153700741602443
3,8,B6,3920,615,1790,1477,26047,30000,0.1089,0.8887333333333334,0.01615436392192057
3,7,B6,3920,840,13087,8805,7041,30000,0.7297333333333333,0.2627,0.6994419346266276
1,6,C3,3920,1289,12263,5523,10805,30000,0.5928666666666667,0.40313333333333334,0.5439743742621801
1,7,C3,3920,1301,16101,6285,6170,30000,0.7462,0.24903333333333333,0.7334070956529625
3,6,C3,3984,484,24501,3337,1566,30000,0.9279333333333334,0.06833333333333333,0.9242402210266105
1,8,C3,3920,1167,1950,612,26122,30000,0.0854,0.9096333333333333,0.016660590594239886
3,7,C3,3984,1096,21502,3381,3963,30000,0.8294333333333334,0.16863333333333333,0.8129911544740139
1,9,C3,3920,598,1164,275,27755,30000,0.047966666666666664,0.9451,-0.021510178259089737
2,5,C5,3984,832,13230,14420,1389,30000,0.9216666666666666,0.07403333333333334,0.9212099387828592
3,5,C5,3852,330,11892,2162,15554,30000,0.46846666666666664,0.5294666666666666,0.42617839013778097
3,6,C5,3852,201,24560,2360,2865,30000,0.8973333333333333,0.1022,0.8908681110949542
2,9,C5,3984,1284,2884,2214,21080,30000,0.16993333333333333,0.7454666666666667,0.06252842201000454
3,8,C5,3852,547,7922,1157,20263,30000,0.3026333333333333,0.6936666666666667,0.23349038964924088
2,8,C5,3984,1327,5400,3902,17612,30000,0.31006666666666666,0.6313,0.2309401001468318
3,7,C5,3852,414,7839,1176,20406,30000,0.3005,0.694,0.21058426027865307
1,6,D2,3852,1125,9903,3623,15252,30000,0.4508666666666667,0.5459,0.3792742438885563
1,7,D2,3852,1158,18201,2809,7753,30000,0.7003333333333334,0.2970333333333333,0.6836355350089264
1,8,D2,3852,415,1620,308,27575,30000,0.06426666666666667,0.933,-0.006452788917243896
2,6,E1,3920,538,19613,4568,5239,30000,0.8060333333333334,0.19256666666666666,0.7930895352675789
2,7,E1,3920,701,11320,3381,14534,30000,0.4900333333333333,0.5078333333333334,0.44242401888462674
2,5,E1,3920,914,18078,4750,6218,30000,0.7609333333333334,0.23773333333333332,0.7475693194094346
2,9,E1,3920,400,3174,910,25374,30000,0.13613333333333333,0.8591333333333333,0.024101864483856292
2,8,E1,3920,830,4544,1042,23530,30000,0.1862,0.812,0.09103572907646551
1,6,E5,3852,446,11621,12974,4919,30000,0.8198333333333333,0.17883333333333334,0.8072239488429324
1,7,E5,3852,489,12269,12736,4313,30000,0.8335,0.16006666666666666,0.8281394483613423
1,8,E5,3852,295,1921,1711,25882,30000,0.12106666666666667,0.8725666666666667,0.055668975574188845
1,9,E5,3852,140,933,821,28072,30000,0.05846666666666667,0.9404,-0.009787503256298619
1,6,F6,3920,971,246,201,28532,30000,0.0149,0.9834333333333334,-0.12638608596041698
3,5,F6,3984,214,25305,3053,1396,30000,0.9452666666666667,0.05366666666666667,0.9448150833937636
1,7,F6,3920,2293,10518,4666,12257,30000,0.5061333333333333,0.485,0.47290216850300015
3,6,F6,3984,270,26503,2551,654,30000,0.9684666666666667,0.0308,0.9684455431147303
1,8,F6,3920,732,1677,540,26858,30000,0.0739,0.9196666666666666,0.0040831206707983864
3,8,F6,3984,794,5665,862,21036,30000,0.21756666666666666,0.7276666666666667,0.13805998055493232
3,7,F6,3984,1018,22480,2209,4024,30000,0.8229666666666666,0.16806666666666667,0.805626210090733
1,9,F6,3920,548,2187,962,26037,30000,0.10496666666666667,0.8861666666666667,0.0421272003274906
1,5,G3,3984,885,7751,19950,84,30000,0.9233666666666667,0.0323,0.9304736309378381
1,6,G3,3984,516,9949,14402,5040,30000,0.8117,0.1852,0.7977904202487623
1,7,G3,3984,1016,12785,13047,2949,30000,0.8610666666666666,0.13216666666666665,0.8580530244170238
1,8,G3,3984,721,4424,5127,18483,30000,0.3183666666666667,0.6401333333333333,0.27145461173897195
1,9,G3,3984,165,224,429,26240,30000,0.021766666666666667,0.8801666666666667,-0.050761043504149464
2,5,H2,3984,318,26131,2724,742,30000,0.9618333333333333,0.035333333333333335,0.9646020885848037
2,6,H2,3984,753,19883,3133,5370,30000,0.7672,0.2041,0.7503576275538275
3,5,H2,3852,1554,8081,11123,9199,30000,0.6401333333333333,0.3584333333333333,0.6129079042784626
2,7,H2,3984,783,20044,2786,5118,30000,0.761,0.1967,0.7422543523163176
3,6,H2,3852,674,7490,18228,3555,30000,0.8572666666666666,0.14096666666666666,0.8471717318598226
3,8,H2,3852,576,2885,3971,22313,30000,0.22853333333333334,0.7629666666666667,0.15036272530102462
2,8,H2,3984,1204,8500,1445,14206,30000,0.3315,0.5136666666666667,0.2551485260344114
3,7,H2,3852,588,6770,11212,11282,30000,0.5994,0.39566666666666667,0.5510041380357618
